	v5_5_gene	JGI_v5.5_ID	JGI_v6	transcript	gene	k0	k4	BetweennessCentralitychlamynetUnDirected	OutdegreechlamynetUnDirected	IndegreechlamynetUnDirected	BetweennessCentralitychlamynetDirected	OutdegreechlamynetDirected	IndegreechlamynetDirected
2750	Cre14.g625625	Cre14.g625625.t1.1	ChCC-v11030659m.g	g15070.t1	g15070	0.1677222653289352	0.4010245775031661	0.0003915769220465	6.0	1.0	0.0536030281906294	6.0	1.0
2754	Cre14.g629960	Cre14.g629960.t1.1	ChCC-v11030908m.g	g15171.t1	g15171	0.1730542276793406	0.56716934350346	3.615975184262317e-05	121.0	63.0	0.0145984578015893	121.0	63.0
2761				Cre14.g627500.t1.2	Cre14.g627500			0.0	3.0	0.0	0.0	3.0	0.0
2762	Cre14.g624850	Cre14.g624850.t1.1	ChCC-v11030609m.g	Cre14.g624850.t1.3	Cre14.g624850	0.0134171735630812	0.3377367557051371	0.000225910282664	5.0	3.0	0.0047259961408746	5.0	3.0
2765	Cre14.g630400	Cre14.g630400.t1.2	ChCC-v11030930m.g	Cre14.g630400.t1.2	Cre14.g630400	0.0591045450822732	0.3408545154111441	1.1710935888652527e-07	0.0	2.0	0.0	0.0	2.0
2770				Cre14.g633903.t1.2	Cre14.g633903			1.854814246730456e-06	0.0	6.0	0.0	0.0	6.0
2774	Cre14.g612700	Cre14.g612700.t1.2	ChCC-v11030110m.g	Cre14.g612700.t1.2	Cre14.g612700	0.0204183850776217	0.2608495996937665	0.0008753487124334	1.0	5.0	0.0064065100507695	1.0	5.0
2777				Cre14.g608950.t1.2	Cre14.g608950			4.3236378411863854e-08	2.0	1.0	0.0	2.0	1.0
2778	Cre14.g627488	Cre14.g627488.t1.1		g15115.t1	g15115	0.0297295019179568	0.3910980164782849	6.614490173708517e-05	4.0	5.0	0.0038243706195727	4.0	5.0
2779	Cre14.g614151	Cre14.g614151.t1.1	ChCC-v11030164m.g	g14798.t1	g14798	0.0798378255163889	0.2882420036507664	0.0010025637291809	7.0	2.0	0.0008181431652867	7.0	2.0
2781	Cre14.g629500	Cre14.g629500.t1.2	ChCC-v11030890m.g	Cre14.g629500.t1.2	Cre14.g629500	0.0381533268281019	0.2936578271921672	0.0002742102407662	4.0	1.0	0.0007781341401711	4.0	1.0
2782	Cre14.g619100	Cre14.g619100.t1.2	ChCC-v11030389m.g	Cre14.g619100.t1.2	Cre14.g619100	0.017685029914084	0.2301067835982405	5.531745820868871e-05	2.0	6.0	0.0031914397517709	2.0	6.0
2783	Cre14.g611450	Cre14.g611450.t1.1	ChCC-v11030034m.g	Cre14.g611450.t1.3	Cre14.g611450	0.1918757099610696	0.6442182227160806	0.0027215358122236	16.0	24.0	1.072063186946184	16.0	24.0
2788	Cre14.g632000	Cre14.g632000.t1.1	ChCC-v11031027m.g	Cre14.g632000.t1.3	Cre14.g632000	0.1189671554127072	0.3273098525467425	0.0001039598822117	36.0	0.0	0.0	36.0	0.0
2790	Cre14.g624600	Cre14.g624600.t1.1	ChCC-v11030600m.g	Cre14.g624600.t1.3	Cre14.g624600	0.1773143215008492	0.5807329407503639	0.0018544347182112	16.0	3.0	0.2061506280667034	16.0	3.0
2791				Cre14.g615634.t1.2	Cre14.g615634			6.323355836211261e-06	0.0	3.0	0.0	0.0	3.0
2793				Cre14.g614650.t1.2	Cre14.g614650			0.0009278861589595	1.0	56.0	0.0179096293750342	1.0	56.0
2794	Cre14.g625950	Cre14.g625950.t1.1	ChCC-v11030681m.g	Cre14.g625950.t1.3	Cre14.g625950	0.2932362317171886	0.566028805169534	0.0003156664159932	21.0	34.0	0.0567795549776684	21.0	34.0
2803	Cre14.g629600	Cre14.g629600.t1.1	ChCC-v11030894m.g	Cre14.g629600.t1.3	Cre14.g629600	0.1164696633045265	0.6213470212334772	0.0017873888372475	4.0	2.0	0.0013090922144457	4.0	2.0
2807	Cre14.g628150	Cre14.g628150.t1.1		Cre14.g628150.t1.3	Cre14.g628150	0.1543351850399872	0.1942606331866568	5.846657431950123e-06	1.0	2.0	0.000338071506486	1.0	2.0
2808				Cre14.g631450.t1.3	Cre14.g631450			0.0005465223431838	4.0	4.0	0.1240615485544822	4.0	4.0
2810	Cre14.g614350	Cre14.g614350.t1.2	ChCC-v11030172m.g	Cre14.g614350.t1.2	Cre14.g614350	-0.0	0.4769915750399977	0.0021422285906845	90.0	64.0	0.9001102547641142	90.0	64.0
2815				g14923.t1	g14923	0.0500185308740041	0.4300094855604934	0.0014359696892524	48.0	56.0	0.6878113690353517	48.0	56.0
2817	Cre14.g618500	Cre14.g618500.t1.1	ChCC-v11030350m.g	Cre14.g618500.t1.3	Cre14.g618500	0.3214463205680452	0.6040880628387775	1.898945737159244e-06	2.0	0.0	0.0	2.0	0.0
2819				Cre14.g631000.t1.2	Cre14.g631000			0.0	1.0	0.0	0.0	1.0	0.0
2820				g15040.t1	g15040			0.0	0.0	1.0	0.0	0.0	1.0
2821				g15040.t2	g15040			0.0	0.0	1.0	0.0	0.0	1.0
2822	Cre14.g629150	Cre14.g629150.t1.1	ChCC-v11030866m.g	Cre14.g629150.t1.3	Cre14.g629150	0.319379070158201	0.8082373091162971	0.0	1.0	0.0	0.0	1.0	0.0
2823	Cre14.g625150	Cre14.g625150.t1.1	ChCC-v11030632m.g	Cre14.g625150.t1.3	Cre14.g625150	0.2139322851393166	0.5109493895048944	0.0	1.0	0.0	0.0	1.0	0.0
2830				g15193.t1	g15193			0.0002717383628555	53.0	16.0	0.1681298450220937	53.0	16.0
2836	Cre14.g611552	Cre14.g611552.t1.1	ChCC-v11030046m.g	Cre14.g611600.t1.2	Cre14.g611600	0.0972627530744339	0.339516176279536	0.0009094994108232	3.0	7.0	0.0944840982000436	3.0	7.0
2837				Cre14.g632100.t1.3	Cre14.g632100			0.0004056761238763	133.0	21.0	0.0110206621480014	133.0	21.0
2838	Cre14.g619400	Cre14.g619400.t1.2	ChCC-v11030402m.g	Cre14.g619400.t1.2	Cre14.g619400	0.1146976629107807	0.4119120380730601	0.0001584832625739	4.0	23.0	0.0410585054388323	4.0	23.0
2839	Cre14.g612450	Cre14.g612450.t1.2	ChCC-v11030084m.g	Cre14.g612450.t1.2	Cre14.g612450	0.0105338810272857	0.115892704074692	0.0026738557280532	16.0	19.0	11.217363412595368	16.0	19.0
2840	Cre14.g630301	Cre14.g630301.t1.1	ChCC-v11030927m.g	g15179.t1	g15179	0.2582346907449669	0.5160934262202403	0.001506802058046	10.0	30.0	0.2028990435358629	10.0	30.0
2844	Cre14.g632750	Cre14.g632750.t1.1	ChCC-v11031072m.g	Cre14.g632750.t1.3	Cre14.g632750	0.2578286543271184	0.6216837691687582	2.3881064105731832e-05	10.0	3.0	0.0382795568538667	10.0	3.0
2847				Cre14.g608093.t1.2	Cre14.g608093			0.0001912605688568	12.0	1.0	0.0010356049870108	12.0	1.0
2850	Cre14.g611484	Cre14.g611484.t1.1	ChCC-v11030043m.g	g14739.t3	g14739	0.0642103145422438	0.3198888879794976	0.0039697010896288	12.0	10.0	0.2902501967433937	12.0	10.0
2851				g14739.t2	g14739			0.0039697010896288	12.0	10.0	0.2902501967433937	12.0	10.0
2852				g14739.t1	g14739			0.0039697010896288	12.0	10.0	0.2902501967433937	12.0	10.0
2859	Cre14.g614050	Cre14.g614050.t1.1	ChCC-v11030162m.g	Cre14.g614050.t1.3	Cre14.g614050	0.0663756350369846	0.3018295403937204	0.0005232806440449	82.0	61.0	0.0466418549999191	82.0	61.0
2863	Cre14.g623350	Cre14.g623350.t1.2	ChCC-v11030556m.g	Cre14.g623350.t1.2	Cre14.g623350	0.0367045717801664	0.3241000163927443	9.211522896132744e-05	10.0	12.0	0.032500350799466	10.0	12.0
2865	Cre14.g616900	Cre14.g616900.t1.2	ChCC-v11030279m.g	Cre14.g616900.t1.2	Cre14.g616900	0.0111113143388554	0.202564732921051	2.3037296137966002e-08	30.0	37.0	2.6521239115156422e-05	30.0	37.0
2866	Cre14.g630871	Cre14.g630871.t1.1	ChCC-v11030959m.g	g15199.t1	g15199	0.1151894007092246	0.4546018526777367	0.0001043401372101	4.0	3.0	0.0001982804342731	4.0	3.0
2867	Cre14.g621700	Cre14.g621700.t1.1	ChCC-v11030503m.g	Cre14.g621700.t1.3	Cre14.g621700	0.0664297640742648	0.3892168123869307	0.0011560802342717	2.0	0.0	0.0	2.0	0.0
2868	Cre14.g618700	Cre14.g618700.t1.1	ChCC-v11030361m.g	Cre14.g618700.t1.3	Cre14.g618700	0.1407749844650347	0.4642794063046674	0.0	0.0	1.0	0.0	0.0	1.0
2871				Cre14.g622750.t1.1	Cre14.g622750			0.0055685539561123	2.0	28.0	0.1068736725062565	2.0	28.0
2873	Cre14.g608550	Cre14.g608550.t1.2	ChCC-v11029922m.g	Cre14.g608550.t1.2	Cre14.g608550	0.3250812303759909	0.4883730260330656	8.771461186068502e-05	51.0	11.0	0.01893690949707	51.0	11.0
2876	Cre14.g613900	Cre14.g613900.t1.2	ChCC-v11030158m.g	Cre14.g613900.t1.2	Cre14.g613900	0.0351234747630743	0.2692088193549536	3.0157001540088315e-05	1.0	1.0	0.0001490339693884	1.0	1.0
2877	Cre14.g633050	Cre14.g633050.t1.1	ChCC-v11031102m.g	Cre14.g633050.t1.3	Cre14.g633050	0.2524338629738469	0.5689256673257229	0.0	2.0	0.0	0.0	2.0	0.0
2878	Cre14.g621000	Cre14.g621000.t1.2	ChCC-v11030473m.g	Cre14.g621000.t1.2	Cre14.g621000	0.0272334545971829	0.2360764099780142	0.0	2.0	1.0	0.0	2.0	1.0
2881	Cre14.g627800	Cre14.g627800.t1.2	ChCC-v11030792m.g	Cre14.g627800.t1.2	Cre14.g627800	0.0645783839697544	0.3335143659460843	0.0007105636540502	0.0	2.0	0.0	0.0	2.0
2884				Cre14.g612350.t1.3	Cre14.g612350			0.0005404539549255	0.0	49.0	0.0	0.0	49.0
2885	Cre14.g628800	Cre14.g628800.t1.1	ChCC-v11030844m.g	Cre14.g628800.t1.3	Cre14.g628800	0.1425785115816413	0.4290020979006427	0.0003893329510965	7.0	7.0	0.0050183757408163	7.0	7.0
2886	Cre14.g629550	Cre14.g629550.t1.2	ChCC-v11030891m.g	Cre14.g629550.t1.2	Cre14.g629550	0.0900063692740061	0.3449373207842509	0.0009147787493583	13.0	25.0	0.2840246614912744	13.0	25.0
2887				g15210.t1	g15210			0.0009567962828048	64.0	6.0	0.1915787808300261	64.0	6.0
2888				Cre14.g608050.t1.2	Cre14.g608050			0.0010792736428246	12.0	5.0	0.0383046479975396	12.0	5.0
2889				g14681.t1	g14681			0.0	1.0	1.0	0.0	1.0	1.0
2890				Cre14.g613100.t1.3	Cre14.g613100			0.0013712652001282	4.0	4.0	0.0015918568063659	4.0	4.0
2892	Cre14.g608900	Cre14.g608900.t1.1	ChCC-v11029934m.g	g14678.t1	g14678	0.3491399311232157	0.607349725384532	0.0196382482191916	44.0	13.0	1.3907970140044896	44.0	13.0
2893	Cre14.g630100	Cre14.g630100.t1.2	ChCC-v11030918m.g	g15174.t1	g15174	0.0071259443431051	0.0332464403304228	0.0013123648699116	8.0	12.0	0.4796774444391485	8.0	12.0
2896				Cre14.g608600.t1.2	Cre14.g608600			0.0004097277042463	179.0	6.0	0.0170293277977272	179.0	6.0
2898				Cre14.g634100.t1.3	Cre14.g634100			7.09559250802463e-05	2.0	0.0	0.0	2.0	0.0
2903	Cre14.g632831	Cre14.g632831.t1.1	ChCC-v11031087m.g	g15256.t1	g15256	0.0659765797094678	0.268659167443214	4.773375050288838e-05	0.0	3.0	0.0	0.0	3.0
2904				Cre14.g623550.t1.3	Cre14.g623550			0.0019978197324509	86.0	4.0	0.03573684339011	86.0	4.0
2905				g14811.t1	g14811			0.0022579129504484	68.0	23.0	1.4571250260757511	68.0	23.0
2906	Cre14.g617700	Cre14.g617700.t1.1	ChCC-v11030315m.g	Cre14.g617700.t1.3	Cre14.g617700	0.0528853382457435	0.3458113490755662	5.079379352981737e-05	10.0	6.0	0.0099512781401638	10.0	6.0
2909	Cre14.g624201	Cre14.g624201.t1.1	ChCC-v11030586m.g	g15041.t1	g15041	0.0279331298792784	0.2895755556947799	1.142536127142057e-06	1.0	7.0	3.77012763369883e-05	1.0	7.0
2911	Cre14.g612850	Cre14.g612850.t1.1	ChCC-v11030116m.g	Cre14.g612850.t1.3	Cre14.g612850	0.1335107246972807	0.4994533160090882	0.0	2.0	0.0	0.0	2.0	0.0
2912	Cre14.g622900	Cre14.g622900.t1.1	ChCC-v11030530m.g	Cre14.g622900.t1.2	Cre14.g622900	0.136802071408078	0.3801395457584979	0.000287680183875	22.0	53.0	0.1116500452409143	22.0	53.0
2914				Cre14.g626000.t1.3	Cre14.g626000			0.0001200661808726	4.0	6.0	0.6006736776178362	4.0	6.0
2916	Cre14.g619350	Cre14.g619350.t1.2	ChCC-v11030398m.g	g14925.t1	g14925	0.0537577597421423	0.3425688018717862	0.0001141102912509	4.0	1.0	0.0136560159372704	4.0	1.0
2917				Cre14.g624750.t1.2	Cre14.g624750			5.6604975680322656e-05	161.0	88.0	0.2871045369383643	161.0	88.0
2919	Cre14.g630950	Cre14.g630950.t1.2	ChCC-v11030969m.g	Cre14.g630950.t1.2	Cre14.g630950	0.1676656084704804	0.6801377535713011	0.0004562385239107	49.0	83.0	0.3875384516914341	49.0	83.0
2924	Cre14.g629920	Cre14.g629920.t1.1	ChCC-v11030906m.g	g15170.t1	g15170	0.0364357357716227	0.3719249801619862	6.255849061507859e-05	59.0	177.0	0.0367590799059652	59.0	177.0
2926	Cre14.g613400	Cre14.g613400.t1.2	ChCC-v11030137m.g	Cre14.g613400.t1.2	Cre14.g613400	0.0487312597478443	0.3279103548170586	0.0038848600033984	97.0	15.0	0.0276962061827987	97.0	15.0
2931	Cre14.g616050	Cre14.g616050.t1.1	ChCC-v11030235m.g	Cre14.g616050.t1.3	Cre14.g616050	0.1633199686730528	0.531443627240564	1.4440238595533571e-05	2.0	0.0	0.0	2.0	0.0
2932	Cre14.g617950	Cre14.g617950.t1.1	ChCC-v11030328m.g	Cre14.g617950.t1.3	Cre14.g617950	0.0686192553184993	0.4476120537161349	0.0	0.0	1.0	0.0	0.0	1.0
2934	Cre14.g630775	Cre14.g630775.t1.1		g15191.t1	g15191	0.2934603548371559	0.3492629760759144	0.0002510450506073	46.0	5.0	0.0072473032612604	46.0	5.0
2935	Cre14.g621050	Cre14.g621050.t1.1	ChCC-v11030474m.g	Cre14.g621050.t1.3	Cre14.g621050	0.2874622894366422	0.6672168635939952	0.0	0.0	1.0	0.0	0.0	1.0
2937				Cre14.g613950.t1.2	Cre14.g613950			7.0399840289158624e-06	5.0	1.0	0.0065422352031719	5.0	1.0
2941	Cre14.g616800	Cre14.g616800.t1.2	ChCC-v11030273m.g	Cre14.g616800.t1.2	Cre14.g616800	0.0863947737139076	0.3845329788463214	1.557531088002743e-05	1.0	2.0	6.611658853605644e-05	1.0	2.0
2942	Cre14.g626750	Cre14.g626750.t1.2	ChCC-v11030722m.g	Cre14.g626750.t1.2	Cre14.g626750	0.0218197207062485	0.1036127538606128	0.0002872783657555	37.0	7.0	0.1303714192232743	37.0	7.0
2944	Cre14.g626250	Cre14.g626250.t1.2	ChCC-v11030695m.g	Cre14.g626250.t1.2	Cre14.g626250	0.025426163756761	0.3439312000665846	0.0007912374874524	4.0	2.0	0.0962205719113272	4.0	2.0
2946	Cre14.g624350	Cre14.g624350.t1.2	ChCC-v11030589m.g	Cre14.g624350.t1.2	Cre14.g624350	0.0231349511421457	0.21465126546101	0.0004314790222066	2.0	1.0	0.0331859219143734	2.0	1.0
2949	Cre14.g620300	Cre14.g620300.t1.2	ChCC-v11030448m.g	Cre14.g620300.t1.2	Cre14.g620300	0.0136367393123928	0.2610659966436464	0.0001144019459298	4.0	1.0	0.0006100662969145	4.0	1.0
2951	Cre14.g616950	Cre14.g616950.t1.1	ChCC-v11030280m.g	Cre14.g616950.t1.3	Cre14.g616950	0.0188689197271162	0.4233973520533888	0.0009722321440443	4.0	3.0	0.0085378351224467	4.0	3.0
2953	Cre14.g612750	Cre14.g612750.t1.1	ChCC-v11030112m.g	Cre14.g612750.t1.2	Cre14.g612750	0.0595591624161829	0.4466315332470219	1.1714135699886386e-05	2.0	0.0	0.0	2.0	0.0
2954	Cre14.g620200	Cre14.g620200.t1.1	ChCC-v11030440m.g	Cre14.g620200.t1.3	Cre14.g620200	0.1443959933092378	0.4938462169290415	0.0001734519708055	94.0	35.0	2.4979408276589723	94.0	35.0
2956				g14721.t1	g14721			0.000314405281591	23.0	160.0	0.1142654478197062	23.0	160.0
2958	Cre14.g614850	Cre14.g614850.t1.1	ChCC-v11030194m.g	Cre14.g614850.t1.3	Cre14.g614850	0.0423199219478362	0.3187436478438897	0.0	1.0	0.0	0.0	1.0	0.0
2966	Cre14.g615850	Cre14.g615850.t1.1	ChCC-v11030222m.g	Cre14.g615850.t1.3	Cre14.g615850	0.1434376406536919	0.5470462282142147	0.0	0.0	1.0	0.0	0.0	1.0
2973	Cre14.g611350	Cre14.g611350.t1.1	ChCC-v11030030m.g	Cre14.g611350.t1.3	Cre14.g611350	0.2717057848142689	0.6340192019118971	0.0	1.0	0.0	0.0	1.0	0.0
2974	Cre14.g615550	Cre14.g615550.t1.1	ChCC-v11030213m.g	g14829.t1	g14829	0.3027060730207137	0.7644041332977745	0.0006846524046335	56.0	63.0	0.5983537666103711	56.0	63.0
2977	Cre14.g625000	Cre14.g625000.t1.1	ChCC-v11030621m.g	Cre14.g625000.t1.1	Cre14.g625000	0.043239638570458	0.4684383818419866	0.0003180570084977	11.0	0.0	0.0	11.0	0.0
2979	Cre14.g623700	Cre14.g623700.t1.1	ChCC-v11030569m.g	Cre14.g623700.t1.3	Cre14.g623700	0.1269917266877362	0.3799902017326514	0.0	0.0	1.0	0.0	0.0	1.0
2981				g14720.t1	g14720			0.0002369106846718	2.0	0.0	0.0	2.0	0.0
2986	Cre14.g621100	Cre14.g621100.t1.1	ChCC-v11030476m.g	Cre14.g621100.t1.3	Cre14.g621100	0.2114979544814655	0.611483865388271	0.0020917263589589	8.0	168.0	0.280882727451696	8.0	168.0
2992				g15253.t1	g15253			0.0	1.0	1.0	0.0	1.0	1.0
2994				Cre14.g620250.t1.3	Cre14.g620250			0.0006592851234064	5.0	7.0	0.0339156568878274	5.0	7.0
2996	Cre14.g611250	Cre14.g611250.t1.2	ChCC-v11030025m.g	Cre14.g611250.t1.2	Cre14.g611250	0.0491628954719839	0.261185411035721	4.223035940002186e-05	38.0	12.0	0.0048712964502341	38.0	12.0
2998	Cre14.g618000	Cre14.g618000.t1.2	ChCC-v11030330m.g	Cre14.g618000.t1.2	Cre14.g618000	0.0865907466202838	0.357631328212794	0.0002570619184272	1.0	7.0	0.094942050638163	1.0	7.0
3000	Cre14.g630907	Cre14.g630907.t1.1	ChCC-v11030968m.g	g15203.t2	g15203	0.1736916742611824	0.7608378722597993	7.877488142086792e-05	40.0	78.0	0.4387949673764576	40.0	78.0
3001				g15203.t1	g15203			7.877488142086792e-05	40.0	78.0	0.4387949673764576	40.0	78.0
3007	Cre14.g620500	Cre14.g620500.t1.2	ChCC-v11030454m.g	Cre14.g620500.t1.2	Cre14.g620500	0.0927423526969612	0.4473902586531552	0.002836911895633	68.0	89.0	4.583500606040584	68.0	89.0
3010				Cre14.g630650.t1.2	Cre14.g630650			0.001714795175039	12.0	49.0	0.3675194293507592	12.0	49.0
3012	Cre14.g630150	Cre14.g630150.t1.1	ex.Cre14.g630150.t1.1.g	Cre14.g630150.t1.3	Cre14.g630150	0.191560408960036	0.4796762340640708	0.0003970773441495	3.0	0.0	0.0	3.0	0.0
3014				g15036.t1	g15036			0.0003542937054125	111.0	156.0	1.0230793815037071	111.0	156.0
3015				Cre14.g632250.t1.3	Cre14.g632250			0.0014207624415087	0.0	4.0	0.0	0.0	4.0
3020	Cre14.g616750	Cre14.g616750.t1.1	ChCC-v11030269m.g	Cre14.g616750.t1.1	Cre14.g616750	0.0352339896785776	0.3973329530602592	0.0	1.0	0.0	0.0	1.0	0.0
3021	Cre14.g629700	Cre14.g629700.t1.1	ChCC-v11030897m.g	Cre14.g629700.t1.3	Cre14.g629700	0.0606304373157982	0.3127694478819303	0.0002369106846718	3.0	0.0	0.0	3.0	0.0
3025	Cre14.g631900	Cre14.g631900.t1.2	ChCC-v11031024m.g	Cre14.g631900.t1.2	Cre14.g631900	0.0282054389472647	0.1934858397293215	0.0	1.0	0.0	0.0	1.0	0.0
3027	Cre14.g615350	Cre14.g615350.t1.2	ChCC-v11030209m.g	Cre14.g615350.t1.2	Cre14.g615350	0.0799234572919731	0.7280841878686686	0.0001137238156028	251.0	1.0	0.0599492877671533	251.0	1.0
3031				Cre14.g632700.t1.3	Cre14.g632700			0.0	0.0	1.0	0.0	0.0	1.0
3032	Cre14.g626700	Cre14.g626700.t1.2	ChCC-v11030721m.g	g15094.t1	g15094	-0.0	0.0718251788190063	0.0009024039358945	0.0	12.0	0.0	0.0	12.0
3036				Cre14.g623050.t1.2	Cre14.g623050			0.0002369106846718	2.0	0.0	0.0	2.0	0.0
3045	Cre14.g626350	Cre14.g626350.t1.2	ChCC-v11030699m.g	Cre14.g626350.t1.2	Cre14.g626350	0.0777462423293798	0.3978034218268532	0.0	0.0	1.0	0.0	0.0	1.0
3049	Cre14.g615950	Cre14.g615950.t1.1	ChCC-v11030231m.g	Cre14.g615950.t1.1	Cre14.g615950	0.0286906944005969	0.2132573783896996	0.0005856148364092	9.0	9.0	0.2270470708349852	9.0	9.0
3054	Cre14.g624000	Cre14.g624000.t1.1	ChCC-v11030581m.g	Cre14.g624000.t1.3	Cre14.g624000	0.341549300486171	0.8292595919184018	3.756327778361302e-05	2.0	5.0	0.001399415666657	2.0	5.0
3058	Cre14.g611300	Cre14.g611300.t1.1	ChCC-v11030029m.g	Cre14.g611300.t1.3	Cre14.g611300	0.0506949683493961	0.3152101454199786	8.817151994030103e-07	7.0	1.0	0.0005600214135586	7.0	1.0
3059	Cre14.g617650	Cre14.g617650.t1.1	ChCC-v11030311m.g	Cre14.g617650.t1.3	Cre14.g617650	0.1367411675954659	0.5172933549618322	0.0016648059385038	13.0	50.0	0.3446135913697752	13.0	50.0
3061				Cre14.g614800.t1.2	Cre14.g614800			0.004782454704244	15.0	5.0	0.0183991812968687	15.0	5.0
3063				g14664.t1	g14664			0.0025662093910077	7.0	71.0	0.452228456446557	7.0	71.0
3064	Cre14.g613450	Cre14.g613450.t1.2	ChCC-v11030139m.g	Cre14.g613450.t1.2	Cre14.g613450	0.0998268631424225	0.4064674067708729	0.0	0.0	2.0	0.0	0.0	2.0
3065				Cre14.g622100.t1.2	Cre14.g622100			2.4842084867280504e-05	12.0	0.0	0.0	12.0	0.0
3068				Cre14.g614500.t1.2	Cre14.g614500			0.0074865396601851	10.0	1.0	0.2671044102145258	10.0	1.0
3070	Cre14.g633750	Cre14.g633750.t1.1	ChCC-v11031134m.g	Cre14.g633750.t1.3	Cre14.g633750	0.0125234820721231	0.1365100783932064	1.6377378115951743e-06	13.0	2.0	0.0020169596239589	13.0	2.0
3074	Cre14.g633550	Cre14.g633550.t1.2	ChCC-v11031125m.g	g15274.t1	g15274	0.0281912382343885	0.2989793572783233	0.0018107199137754	7.0	21.0	0.1048104475739672	7.0	21.0
3075	Cre14.g625225	Cre14.g625225.t1.1	ChCC-v11030635m.g	g15061.t1	g15061	0.1177528116072486	0.3960505726503726	0.0002369106846718	2.0	0.0	0.0	2.0	0.0
3080	Cre14.g632860	Cre14.g632860.t1.2	ChCC-v11031092m.g	Cre14.g632860.t1.2	Cre14.g632860	0.1056451869992815	0.4009888620965071	9.415403757322365e-05	65.0	186.0	0.091301576863083	65.0	186.0
3082				Cre14.g622400.t1.2	Cre14.g622400			4.8823749653642686e-05	81.0	92.0	0.0306214827683505	81.0	92.0
3083	Cre14.g628702	Cre14.g628702.t1.1	ChCC-v11030838m.g	g15143.t1	g15143	0.0991304790692494	0.3775662906190119	0.0007471347850662	8.0	6.0	0.1488712423061136	8.0	6.0
3084	Cre14.g624450	Cre14.g624450.t1.1	ChCC-v11030591m.g	Cre14.g624450.t1.3	Cre14.g624450	0.1166308385390669	0.3610763286149903	0.0002250991073787	58.0	8.0	0.1306196325851213	58.0	8.0
3085	Cre14.g613150	Cre14.g613150.t1.1	ChCC-v11030130m.g	Cre14.g613150.t1.3	Cre14.g613150	0.1839828056822361	0.5597665821267346	0.0010603322130393	93.0	65.0	0.6579158219833177	93.0	65.0
3086	Cre14.g629650	Cre14.g629650.t1.1	ChCC-v11030896m.g	Cre14.g629650.t1.3	Cre14.g629650	0.0283052459871352	0.2423618666524597	4.6623801801394014e-05	7.0	7.0	0.178782842706608	7.0	7.0
3088	Cre14.g617350	Cre14.g617350.t1.1	ChCC-v11030304m.g	Cre14.g617350.t1.3	Cre14.g617350	0.0496048518784088	0.3904008284197137	0.0	0.0	1.0	0.0	0.0	1.0
3091				g15196.t1	g15196			0.0002574401500226	14.0	20.0	0.0718509392300369	14.0	20.0
3093	Cre14.g611200	Cre14.g611200.t1.2	ChCC-v11030023m.g	Cre14.g611200.t1.2	Cre14.g611200	0.036592623127074	0.3311558734364805	0.0002369106846718	0.0	2.0	0.0	0.0	2.0
3095	Cre14.g610950	Cre14.g610950.t1.2	ChCC-v11030017m.g	Cre14.g610950.t1.2	Cre14.g610950	0.0132045664312869	0.1604451721569642	0.0021251136662606	6.0	2.0	0.0039722464507672	6.0	2.0
3099				g15028.t1	g15028			0.0014468946607892	30.0	36.0	0.6121870242020585	30.0	36.0
3100				g14659.t1	g14659			0.0002369509138373	3.0	0.0	0.0	3.0	0.0
3101				g14659.t2	g14659			0.0002369509138373	3.0	0.0	0.0	3.0	0.0
3103				g14865.t1	g14865			1.02591710975369e-05	6.0	0.0	0.0	6.0	0.0
3106				Cre14.g634250.t1.3	Cre14.g634250			0.0003461980126808	63.0	1.0	0.1566772996262509	63.0	1.0
3108	Cre14.g632176	Cre14.g632176.t1.1	ChCC-v11031033m.g	g15234.t1	g15234	0.1159167409713305	0.4342754053443932	0.0	1.0	0.0	0.0	1.0	0.0
3109				Cre14.g619450.t1.2	Cre14.g619450			0.0002327490431162	113.0	5.0	0.0647601000385483	113.0	5.0
3110	Cre14.g610150	Cre14.g610150.t1.2	ChCC-v11029984m.g	Cre14.g610150.t1.2	Cre14.g610150	0.1382045826939123	0.5437745181610206	0.0059734809297696	11.0	3.0	0.0389115968092267	11.0	3.0
3111	Cre14.g623300	Cre14.g623300.t1.2	ChCC-v11030554m.g	Cre14.g623300.t1.2	Cre14.g623300	0.1093526609914188	0.4526766862539053	0.0007252924519811	45.0	5.0	0.0282094134743293	45.0	5.0
3112	Cre14.g617900	Cre14.g617900.t1.2	ChCC-v11030324m.g	Cre14.g617900.t1.2	Cre14.g617900	0.012048451877855	0.0969087986100046	0.0010158102269647	16.0	36.0	0.4444442243472171	16.0	36.0
3113				Cre14.g630700.t1.2	Cre14.g630700			0.0004737933026828	1.0	2.0	0.000139561471334	1.0	2.0
3117				Cre14.g632900.t1.2	Cre14.g632900			0.0084463148035542	7.0	10.0	1.4192764423530129	7.0	10.0
3118	Cre14.g618150	Cre14.g618150.t1.2	ChCC-v11030335m.g	Cre14.g618150.t1.2	Cre14.g618150	0.0941288113127203	0.3931360612106597	0.0	1.0	0.0	0.0	1.0	0.0
3120	Cre14.g615400	Cre14.g615400.t1.2	ChCC-v11030210m.g	Cre14.g615400.t1.2	Cre14.g615400	0.0849235248312482	0.3684947990359175	0.0001581553424885	190.0	45.0	0.0437867135567275	190.0	45.0
3121				g14718.t1	g14718			0.0003826008229677	17.0	20.0	0.2337069166926806	17.0	20.0
