	total_exon_length
ChCC-v11005891m.g	9983
ChCC-v11005893m.g	953
ChCC-v11005896m.g	958
ChCC-v11005903m.g	1737
ChCC-v11005907m.g	2714
ChCC-v11005908m.g	3876
ChCC-v11005910m.g	4380
ChCC-v11005912m.g	2789
ChCC-v11005922m.g	685
ChCC-v11005926m.g	3427
ChCC-v11005927m.g	1343
ChCC-v11005928m.g	2257
ChCC-v11005931m.g	5426
ChCC-v11005932m.g	2570
ChCC-v11005933m.g	689
ChCC-v11005936m.g	5659
ChCC-v11005937m.g	7557
ChCC-v11005941m.g	10365
ChCC-v11005943m.g	2093
ChCC-v11005946m.g	2570
ChCC-v11005949m.g	4731
ChCC-v11005951m.g	4853
ChCC-v11005954m.g	1941
ChCC-v11005957m.g	875
ChCC-v11005958m.g	2565
ChCC-v11005959m.g	2012
ChCC-v11005963m.g	2688
ChCC-v11005965m.g	1895
ChCC-v11005966m.g	3685
ChCC-v11005968m.g	2919
ChCC-v11005970m.g	6854
ChCC-v11005971m.g	4417
ChCC-v11005972m.g	7027
ChCC-v11005976m.g	644
ChCC-v11005981m.g	1828
ChCC-v11005982m.g	2956
ChCC-v11005983m.g	1130
ChCC-v11005984m.g	397
ChCC-v11005988m.g	1791
ChCC-v11005989m.g	2952
ChCC-v11005992m.g	1463
ChCC-v11005993m.g	258
ChCC-v11005995m.g	1717
ChCC-v11005999m.g	2969
ChCC-v11006004m.g	3153
ChCC-v11006006m.g	3610
ChCC-v11006009m.g	5315
ChCC-v11006012m.g	1914
ChCC-v11006020m.g	1629
ChCC-v11006025m.g	4989
ChCC-v11006029m.g	2553
ChCC-v11006034m.g	1681
ChCC-v11006036m.g	2046
ChCC-v11006038m.g	2720
ChCC-v11006042m.g	2531
ChCC-v11006044m.g	2796
ChCC-v11006048m.g	2590
ChCC-v11006054m.g	1388
ChCC-v11006056m.g	2096
ChCC-v11006058m.g	3487
ChCC-v11006059m.g	1007
ChCC-v11006064m.g	1519
ChCC-v11006068m.g	613
ChCC-v11006069m.g	1933
ChCC-v11006070m.g	3345
ChCC-v11006071m.g	3266
ChCC-v11006074m.g	5955
ChCC-v11006075m.g	3521
ChCC-v11006077m.g	2830
ChCC-v11006079m.g	1554
ChCC-v11006087m.g	4390
ChCC-v11006089m.g	3097
ChCC-v11006091m.g	1664
ChCC-v11006093m.g	1934
ChCC-v11006101m.g	3701
ChCC-v11006103m.g	1302
ChCC-v11006104m.g	1892
ChCC-v11006107m.g	1688
ChCC-v11006108m.g	9346
ChCC-v11006120m.g	4278
ChCC-v11006122m.g	3501
ChCC-v11006124m.g	2943
ChCC-v11006126m.g	7391
ChCC-v11006127m.g	2028
ChCC-v11006128m.g	5517
ChCC-v11006130m.g	1408
ChCC-v11006132m.g	4456
ChCC-v11006133m.g	2712
ChCC-v11006135m.g	2017
ChCC-v11006136m.g	1402
ChCC-v11006138m.g	1092
ChCC-v11006139m.g	4171
ChCC-v11006140m.g	7311
ChCC-v11006141m.g	8006
ChCC-v11006142m.g	501
ChCC-v11006144m.g	280
ChCC-v11006150m.g	2454
ChCC-v11006151m.g	458
ChCC-v11006154m.g	3847
ChCC-v11006155m.g	298
ChCC-v11006157m.g	547
ChCC-v11006158m.g	6826
ChCC-v11006160m.g	4765
ChCC-v11006162m.g	4715
ChCC-v11006163m.g	313
ChCC-v11006166m.g	498
ChCC-v11006168m.g	2321
ChCC-v11006169m.g	5018
ChCC-v11006170m.g	8286
ChCC-v11006171m.g	1573
ChCC-v11006173m.g	963
ChCC-v11006174m.g	2453
ChCC-v11006176m.g	2433
ChCC-v11006180m.g	1670
ChCC-v11006182m.g	2683
ChCC-v11006189m.g	1430
ChCC-v11006190m.g	1922
ChCC-v11006197m.g	3555
ChCC-v11006217m.g	4059
ChCC-v11006219m.g	891
ChCC-v11006220m.g	2148
ChCC-v11006222m.g	2336
ChCC-v11006225m.g	282
ChCC-v11006227m.g	487
ChCC-v11006230m.g	2821
ChCC-v11006231m.g	2377
ChCC-v11006233m.g	2076
ChCC-v11006236m.g	1096
ChCC-v11006237m.g	8920
ChCC-v11006240m.g	2140
ChCC-v11006241m.g	4113
ChCC-v11006242m.g	7052
ChCC-v11006244m.g	2929
ChCC-v11006246m.g	2771
ChCC-v11006250m.g	3652
ChCC-v11006251m.g	4856
ChCC-v11006252m.g	7609
ChCC-v11006253m.g	331
ChCC-v11006255m.g	5147
ChCC-v11006257m.g	164
ChCC-v11006259m.g	521
ChCC-v11006261m.g	182
ChCC-v11006262m.g	358
ChCC-v11006264m.g	30178
ChCC-v11006266m.g	9852
ChCC-v11006268m.g	10763
ChCC-v11006269m.g	6532
ChCC-v11006270m.g	4176
ChCC-v11006272m.g	424
ChCC-v11006273m.g	356
ChCC-v11006274m.g	2806
ChCC-v11006275m.g	4330
ChCC-v11006277m.g	4530
ChCC-v11006279m.g	1080
ChCC-v11006280m.g	197
ChCC-v11006282m.g	292
ChCC-v11006283m.g	167
ChCC-v11006286m.g	368
ChCC-v11006288m.g	4948
ChCC-v11006293m.g	225
ChCC-v11006294m.g	1202
ChCC-v11006295m.g	716
ChCC-v11006297m.g	1992
ChCC-v11006298m.g	623
ChCC-v11006302m.g	293
ChCC-v11006304m.g	748
ChCC-v11006306m.g	195
ChCC-v11006309m.g	234
ChCC-v11006312m.g	307
ChCC-v11006316m.g	214
ChCC-v11006318m.g	212
ChCC-v11006319m.g	3102
ChCC-v11006328m.g	932
ChCC-v11006330m.g	4246
ChCC-v11006331m.g	1380
ChCC-v11006334m.g	1696
ChCC-v11006335m.g	1677
ChCC-v11006344m.g	1573
ChCC-v11006349m.g	1048
ChCC-v11006350m.g	1349
ChCC-v11006356m.g	413
ChCC-v11006361m.g	5271
ChCC-v11006362m.g	1059
ChCC-v11006363m.g	1381
ChCC-v11006364m.g	944
ChCC-v11006368m.g	1614
ChCC-v11006370m.g	4176
ChCC-v11006372m.g	2507
ChCC-v11006373m.g	724
ChCC-v11006375m.g	3761
ChCC-v11006379m.g	638
ChCC-v11006382m.g	5018
ChCC-v11006385m.g	5271
ChCC-v11006388m.g	1351
ChCC-v11006391m.g	5271
ChCC-v11006392m.g	987
ChCC-v11006393m.g	5018
ChCC-v11006397m.g	4088
ChCC-v11006398m.g	935
ChCC-v11006399m.g	727
ChCC-v11006401m.g	4871
ChCC-v11006403m.g	2130
ChCC-v11006405m.g	1056
ChCC-v11006411m.g	2674
ChCC-v11006412m.g	4266
ChCC-v11006414m.g	713
ChCC-v11006415m.g	375
ChCC-v11006417m.g	1253
ChCC-v11006418m.g	718
ChCC-v11006423m.g	3085
ChCC-v11006424m.g	2154
ChCC-v11006426m.g	4425
ChCC-v11006427m.g	4964
ChCC-v11006429m.g	1572
ChCC-v11006432m.g	5743
ChCC-v11006434m.g	1238
ChCC-v11006435m.g	2176
ChCC-v11006436m.g	2384
ChCC-v11006442m.g	1639
ChCC-v11006443m.g	1889
ChCC-v11006446m.g	1882
ChCC-v11006449m.g	395
ChCC-v11006454m.g	881
ChCC-v11006455m.g	11238
ChCC-v11006458m.g	2566
ChCC-v11006459m.g	1911
ChCC-v11006461m.g	1357
ChCC-v11006463m.g	4442
ChCC-v11006465m.g	2798
ChCC-v11006468m.g	3139
ChCC-v11006470m.g	3660
ChCC-v11006471m.g	2231
ChCC-v11006473m.g	509
ChCC-v11006474m.g	1798
ChCC-v11006475m.g	1701
ChCC-v11006481m.g	5863
ChCC-v11006483m.g	1238
ChCC-v11006485m.g	2056
ChCC-v11006487m.g	1821
ChCC-v11006490m.g	2882
ChCC-v11006491m.g	3141
ChCC-v11006492m.g	4272
ChCC-v11006495m.g	805
ChCC-v11006497m.g	5779
ChCC-v11006501m.g	8434
ChCC-v11006503m.g	312
ChCC-v11006504m.g	1255
ChCC-v11006505m.g	3227
ChCC-v11006506m.g	1034
ChCC-v11006509m.g	869
ChCC-v11006510m.g	277
ChCC-v11006511m.g	5224
ChCC-v11006515m.g	3746
ChCC-v11006517m.g	3288
ChCC-v11006518m.g	2791
ChCC-v11006519m.g	7147
ChCC-v11006522m.g	2763
ChCC-v11006526m.g	556
ChCC-v11006527m.g	1106
ChCC-v11006528m.g	5028
ChCC-v11006531m.g	2904
ChCC-v11006534m.g	1970
ChCC-v11006536m.g	6061
ChCC-v11006537m.g	1778
ChCC-v11006539m.g	642
ChCC-v11006543m.g	2555
ChCC-v11006544m.g	368
ChCC-v11006545m.g	8896
ChCC-v11006546m.g	1647
ChCC-v11006548m.g	9906
ChCC-v11006549m.g	1958
ChCC-v11006552m.g	2808
ChCC-v11006553m.g	270
ChCC-v11006555m.g	3177
ChCC-v11006556m.g	1970
ChCC-v11006559m.g	1451
ChCC-v11006560m.g	2950
ChCC-v11006561m.g	3736
ChCC-v11006563m.g	13718
ChCC-v11006564m.g	1594
ChCC-v11006565m.g	7889
ChCC-v11006566m.g	1701
ChCC-v11006567m.g	2433
ChCC-v11006568m.g	1514
ChCC-v11006570m.g	2932
ChCC-v11006572m.g	3336
ChCC-v11006576m.g	1995
ChCC-v11006579m.g	2175
ChCC-v11006580m.g	3769
ChCC-v11006581m.g	8762
ChCC-v11006582m.g	1744
ChCC-v11006586m.g	5173
ChCC-v11006587m.g	1434
ChCC-v11006591m.g	2771
ChCC-v11006592m.g	1826
ChCC-v11006594m.g	2737
ChCC-v11006596m.g	2002
ChCC-v11006601m.g	1828
ChCC-v11006602m.g	1381
ChCC-v11006603m.g	1771
ChCC-v11006608m.g	12356
ChCC-v11006614m.g	1562
ChCC-v11006619m.g	1759
ChCC-v11006625m.g	1424
ChCC-v11006626m.g	1854
ChCC-v11006627m.g	1675
ChCC-v11006628m.g	3814
ChCC-v11006629m.g	6316
ChCC-v11006632m.g	3024
ChCC-v11006633m.g	3248
ChCC-v11006635m.g	1701
ChCC-v11006637m.g	1909
ChCC-v11006640m.g	4134
ChCC-v11006641m.g	3367
ChCC-v11006642m.g	1189
ChCC-v11006643m.g	7831
ChCC-v11006644m.g	665
ChCC-v11006646m.g	2316
ChCC-v11006647m.g	1814
ChCC-v11006648m.g	6837
ChCC-v11006650m.g	2731
ChCC-v11006652m.g	3602
ChCC-v11006657m.g	2089
ChCC-v11006659m.g	754
ChCC-v11006661m.g	1726
ChCC-v11006664m.g	2119
ChCC-v11006666m.g	1800
ChCC-v11006667m.g	3668
ChCC-v11006668m.g	887
ChCC-v11006673m.g	5577
ChCC-v11006674m.g	2079
ChCC-v11006678m.g	338
ChCC-v11006679m.g	5818
ChCC-v11006681m.g	3013
ChCC-v11006683m.g	597
ChCC-v11006687m.g	5019
ChCC-v11006688m.g	1840
ChCC-v11006690m.g	2747
ChCC-v11006691m.g	8057
ChCC-v11006695m.g	638
ChCC-v11006698m.g	6061
ChCC-v11006702m.g	1897
ChCC-v11006703m.g	1636
ChCC-v11006704m.g	287
ChCC-v11006706m.g	1306
ChCC-v11006708m.g	6682
ChCC-v11006709m.g	1517
ChCC-v11006711m.g	2107
ChCC-v11006712m.g	2464
ChCC-v11006714m.g	4198
ChCC-v11006715m.g	3613
ChCC-v11006716m.g	1389
ChCC-v11006719m.g	5592
ChCC-v11006720m.g	1178
ChCC-v11006724m.g	5000
ChCC-v11006728m.g	2839
ChCC-v11006730m.g	1370
ChCC-v11006732m.g	4444
ChCC-v11006733m.g	1599
ChCC-v11006734m.g	1688
ChCC-v11006735m.g	836
ChCC-v11006738m.g	708
ChCC-v11006742m.g	2280
ChCC-v11006743m.g	1262
ChCC-v11006744m.g	630
ChCC-v11006747m.g	1797
ChCC-v11006748m.g	1913
ChCC-v11006751m.g	2588
ChCC-v11006753m.g	7466
ChCC-v11006754m.g	1261
ChCC-v11006756m.g	2215
ChCC-v11006758m.g	2662
ChCC-v11006760m.g	2734
ChCC-v11006764m.g	2106
ChCC-v11006770m.g	3303
ChCC-v11006771m.g	2382
ChCC-v11006772m.g	2780
ChCC-v11006775m.g	4133
ChCC-v11006779m.g	4482
ChCC-v11006780m.g	4125
ChCC-v11006786m.g	1577
ChCC-v11006787m.g	1744
ChCC-v11006792m.g	6913
ChCC-v11006793m.g	3966
ChCC-v11006797m.g	2704
ChCC-v11006799m.g	1398
ChCC-v11006802m.g	7589
ChCC-v11006804m.g	2697
ChCC-v11006805m.g	3086
ChCC-v11006808m.g	2488
ChCC-v11006809m.g	3541
ChCC-v11006810m.g	3146
ChCC-v11006811m.g	1475
ChCC-v11006817m.g	4197
ChCC-v11006818m.g	2094
ChCC-v11006820m.g	7824
ChCC-v11006822m.g	434
ChCC-v11006826m.g	5555
ChCC-v11006827m.g	776
ChCC-v11006831m.g	2015
ChCC-v11006833m.g	1956
ChCC-v11006834m.g	769
ChCC-v11006835m.g	1929
ChCC-v11006838m.g	1902
ChCC-v11006840m.g	2968
ChCC-v11006842m.g	18273
ChCC-v11006843m.g	8273
ChCC-v11006845m.g	2640
ChCC-v11006847m.g	1512
ChCC-v11006848m.g	3584
ChCC-v11006849m.g	764
ChCC-v11006854m.g	2190
ChCC-v11006855m.g	2737
ChCC-v11006858m.g	3523
ChCC-v11006860m.g	5425
ChCC-v11006865m.g	1205
ChCC-v11006866m.g	1962
ChCC-v11006868m.g	4533
ChCC-v11006877m.g	8207
ChCC-v11006881m.g	1946
ChCC-v11006882m.g	2514
ChCC-v11006884m.g	7282
ChCC-v11006886m.g	1103
ChCC-v11006887m.g	2112
ChCC-v11006889m.g	1562
ChCC-v11006891m.g	265
ChCC-v11006900m.g	2234
ChCC-v11006904m.g	1057
ChCC-v11006905m.g	1044
ChCC-v11006906m.g	259
ChCC-v11006907m.g	5223
ChCC-v11006911m.g	2038
ChCC-v11006917m.g	3805
ChCC-v11006919m.g	2837
ChCC-v11006920m.g	1493
ChCC-v11006921m.g	2136
ChCC-v11006925m.g	1528
ChCC-v11006927m.g	1985
ChCC-v11006928m.g	555
ChCC-v11006931m.g	1413
ChCC-v11006936m.g	1153
ChCC-v11006939m.g	3042
ChCC-v11006941m.g	2643
ChCC-v11006942m.g	374
ChCC-v11006943m.g	7360
ChCC-v11006946m.g	3542
ChCC-v11006948m.g	3300
ChCC-v11006949m.g	626
ChCC-v11006950m.g	3537
ChCC-v11006956m.g	2272
ChCC-v11006957m.g	3632
ChCC-v11006961m.g	3444
ChCC-v11006962m.g	2533
ChCC-v11006964m.g	3635
ChCC-v11006965m.g	5810
ChCC-v11006967m.g	1465
ChCC-v11006971m.g	8309
ChCC-v11006975m.g	4861
ChCC-v11006980m.g	502
ChCC-v11006986m.g	3201
ChCC-v11006989m.g	1539
ChCC-v11006998m.g	7798
ChCC-v11006999m.g	8031
ChCC-v11007002m.g	438
ChCC-v11007003m.g	493
ChCC-v11007004m.g	434
ChCC-v11007005m.g	4426
ChCC-v11007006m.g	286
ChCC-v11007011m.g	2734
ChCC-v11007015m.g	3386
ChCC-v11007016m.g	1706
ChCC-v11007017m.g	1881
ChCC-v11007021m.g	1740
ChCC-v11007022m.g	3911
ChCC-v11007023m.g	1127
ChCC-v11007025m.g	375
ChCC-v11007026m.g	1497
ChCC-v11007027m.g	1533
ChCC-v11007028m.g	3356
ChCC-v11007033m.g	2214
ChCC-v11007034m.g	5444
ChCC-v11007035m.g	2024
ChCC-v11007037m.g	846
ChCC-v11007038m.g	2794
ChCC-v11007039m.g	5296
ChCC-v11007040m.g	3962
ChCC-v11007042m.g	2099
ChCC-v11007044m.g	1951
ChCC-v11007045m.g	10212
ChCC-v11007046m.g	1247
ChCC-v11007047m.g	1781
ChCC-v11007048m.g	3026
ChCC-v11007049m.g	1936
ChCC-v11007051m.g	1480
ChCC-v11007056m.g	1829
ChCC-v11007058m.g	4166
ChCC-v11007059m.g	1945
ChCC-v11007061m.g	2142
ChCC-v11007066m.g	2484
ChCC-v11007067m.g	2074
ChCC-v11007069m.g	2504
ChCC-v11007070m.g	3547
ChCC-v11007071m.g	4570
ChCC-v11007073m.g	512
ChCC-v11007074m.g	2576
ChCC-v11007075m.g	183
ChCC-v11007077m.g	1481
ChCC-v11007078m.g	2492
ChCC-v11007079m.g	1971
ChCC-v11007080m.g	835
ChCC-v11007082m.g	1553
ChCC-v11007083m.g	9830
ChCC-v11007084m.g	2796
ChCC-v11007087m.g	589
ChCC-v11007088m.g	2714
ChCC-v11007089m.g	10346
ChCC-v11007090m.g	1565
ChCC-v11007093m.g	5212
ChCC-v11007094m.g	1562
ChCC-v11007095m.g	2970
ChCC-v11007097m.g	3678
ChCC-v11007098m.g	1614
ChCC-v11007101m.g	1572
ChCC-v11007102m.g	501
ChCC-v11007105m.g	3497
ChCC-v11007107m.g	1618
ChCC-v11007108m.g	555
ChCC-v11007111m.g	1305
ChCC-v11007114m.g	4534
ChCC-v11007115m.g	2169
ChCC-v11007116m.g	2960
ChCC-v11007118m.g	5477
ChCC-v11007119m.g	2056
ChCC-v11007123m.g	3992
ChCC-v11007125m.g	2759
ChCC-v11007126m.g	2047
ChCC-v11007128m.g	540
ChCC-v11007133m.g	3194
ChCC-v11007135m.g	4406
ChCC-v11007139m.g	3249
ChCC-v11007141m.g	3315
ChCC-v11007146m.g	3753
ChCC-v11007151m.g	7165
ChCC-v11007153m.g	2181
ChCC-v11007156m.g	3174
ChCC-v11007157m.g	5791
ChCC-v11007160m.g	1143
ChCC-v11007167m.g	1491
ChCC-v11007169m.g	6164
ChCC-v11007171m.g	2639
ChCC-v11007174m.g	289
ChCC-v11007176m.g	1941
ChCC-v11007178m.g	4516
ChCC-v11007179m.g	2625
ChCC-v11007180m.g	4693
ChCC-v11007182m.g	2949
ChCC-v11007187m.g	2260
ChCC-v11007188m.g	2001
ChCC-v11007189m.g	565
ChCC-v11007190m.g	3906
ChCC-v11007191m.g	1537
ChCC-v11007192m.g	3142
ChCC-v11007194m.g	4267
ChCC-v11007195m.g	1601
ChCC-v11007196m.g	2709
ChCC-v11007200m.g	2362
ChCC-v11007201m.g	6889
ChCC-v11007207m.g	3666
ChCC-v11007208m.g	7232
ChCC-v11007210m.g	2026
ChCC-v11007215m.g	3003
ChCC-v11007217m.g	2818
ChCC-v11007218m.g	2671
ChCC-v11007219m.g	1731
ChCC-v11007220m.g	2811
ChCC-v11007221m.g	1505
ChCC-v11007222m.g	386
ChCC-v11007224m.g	6325
ChCC-v11007225m.g	4477
ChCC-v11007228m.g	1427
ChCC-v11007229m.g	4315
ChCC-v11007231m.g	5053
ChCC-v11007232m.g	1867
ChCC-v11007233m.g	2006
ChCC-v11007234m.g	9298
ChCC-v11007236m.g	2138
ChCC-v11007238m.g	3058
ChCC-v11007239m.g	8737
ChCC-v11007242m.g	1818
ChCC-v11007246m.g	3138
ChCC-v11007247m.g	1937
ChCC-v11007253m.g	4259
ChCC-v11007255m.g	3734
ChCC-v11007256m.g	2559
ChCC-v11007257m.g	2113
ChCC-v11007260m.g	2905
ChCC-v11007261m.g	6695
ChCC-v11007262m.g	1653
ChCC-v11007263m.g	1667
ChCC-v11007267m.g	1360
ChCC-v11007270m.g	1760
ChCC-v11007272m.g	6932
ChCC-v11007274m.g	206
ChCC-v11007275m.g	6196
ChCC-v11007277m.g	1709
ChCC-v11007279m.g	3081
ChCC-v11007281m.g	1950
ChCC-v11007282m.g	3546
ChCC-v11007284m.g	2992
ChCC-v11007287m.g	1476
ChCC-v11007288m.g	6101
ChCC-v11007292m.g	2877
ChCC-v11007294m.g	2804
ChCC-v11007296m.g	2850
ChCC-v11007301m.g	669
ChCC-v11007307m.g	2959
ChCC-v11007308m.g	5736
ChCC-v11007309m.g	6785
ChCC-v11007311m.g	2644
ChCC-v11007312m.g	657
ChCC-v11007315m.g	2708
ChCC-v11007317m.g	9849
ChCC-v11007318m.g	3468
ChCC-v11007321m.g	3751
ChCC-v11007324m.g	4233
ChCC-v11007327m.g	2020
ChCC-v11007328m.g	1130
ChCC-v11007329m.g	1614
ChCC-v11007331m.g	3014
ChCC-v11007337m.g	1054
ChCC-v11007338m.g	482
ChCC-v11007342m.g	1662
ChCC-v11007343m.g	21743
ChCC-v11007344m.g	765
ChCC-v11007345m.g	2093
ChCC-v11007346m.g	3476
ChCC-v11007347m.g	2012
ChCC-v11007351m.g	3451
ChCC-v11007352m.g	1121
ChCC-v11007353m.g	6875
ChCC-v11007355m.g	1540
ChCC-v11007356m.g	1703
ChCC-v11007357m.g	959
ChCC-v11007359m.g	4960
ChCC-v11007361m.g	5668
ChCC-v11007364m.g	3750
ChCC-v11007365m.g	3232
ChCC-v11007366m.g	1977
ChCC-v11007369m.g	2207
ChCC-v11007370m.g	1495
ChCC-v11007372m.g	2649
ChCC-v11007373m.g	11471
ChCC-v11007375m.g	3792
ChCC-v11007376m.g	1374
ChCC-v11007379m.g	1703
ChCC-v11007382m.g	8926
ChCC-v11007383m.g	3423
ChCC-v11007385m.g	2384
ChCC-v11007386m.g	3851
ChCC-v11007389m.g	4734
ChCC-v11007390m.g	3719
ChCC-v11007391m.g	183
ChCC-v11007396m.g	2057
ChCC-v11007397m.g	1364
ChCC-v11007398m.g	3649
ChCC-v11007400m.g	2681
ChCC-v11007401m.g	732
ChCC-v11007403m.g	2213
ChCC-v11007404m.g	2396
ChCC-v11007405m.g	3777
ChCC-v11007406m.g	777
ChCC-v11007407m.g	7218
ChCC-v11007409m.g	2434
ChCC-v11007410m.g	3105
ChCC-v11007411m.g	4166
ChCC-v11007412m.g	5221
ChCC-v11007413m.g	3349
ChCC-v11007414m.g	2059
ChCC-v11007416m.g	5001
ChCC-v11007418m.g	326
ChCC-v11007425m.g	610
ChCC-v11007429m.g	1396
ChCC-v11007432m.g	7281
ChCC-v11007433m.g	1476
ChCC-v11007437m.g	1695
ChCC-v11007441m.g	2012
ChCC-v11007442m.g	1822
ChCC-v11007444m.g	266
ChCC-v11007446m.g	4944
ChCC-v11007449m.g	2666
ChCC-v11007450m.g	1909
ChCC-v11007452m.g	2420
ChCC-v11007453m.g	3198
ChCC-v11007455m.g	1318
ChCC-v11007457m.g	2936
ChCC-v11007461m.g	1972
ChCC-v11007464m.g	2929
ChCC-v11007467m.g	3340
ChCC-v11007471m.g	1063
ChCC-v11007474m.g	1537
ChCC-v11007477m.g	1192
ChCC-v11007483m.g	2286
ChCC-v11007484m.g	3213
ChCC-v11007485m.g	8267
ChCC-v11007486m.g	2227
ChCC-v11007489m.g	1054
ChCC-v11007491m.g	364
ChCC-v11007492m.g	6064
ChCC-v11007495m.g	965
ChCC-v11007501m.g	2793
ChCC-v11007504m.g	454
ChCC-v11007505m.g	3414
ChCC-v11007507m.g	5183
ChCC-v11007508m.g	828
ChCC-v11007510m.g	2880
ChCC-v11007511m.g	2249
ChCC-v11007512m.g	3368
ChCC-v11007514m.g	2813
ChCC-v11007517m.g	216
ChCC-v11007524m.g	364
ChCC-v11007525m.g	1513
ChCC-v11007526m.g	1978
ChCC-v11007527m.g	673
ChCC-v11007530m.g	1957
ChCC-v11007531m.g	3234
ChCC-v11007534m.g	2596
ChCC-v11007537m.g	1959
ChCC-v11007540m.g	6052
ChCC-v11007542m.g	2313
ChCC-v11007543m.g	10177
ChCC-v11007544m.g	3632
ChCC-v11007545m.g	7486
ChCC-v11007548m.g	9429
ChCC-v11007552m.g	3145
ChCC-v11007553m.g	1804
ChCC-v11007555m.g	486
ChCC-v11007556m.g	1383
ChCC-v11007558m.g	790
ChCC-v11007561m.g	1725
ChCC-v11007562m.g	1677
ChCC-v11007563m.g	11406
ChCC-v11007564m.g	1730
ChCC-v11007565m.g	3098
ChCC-v11007569m.g	2943
ChCC-v11007570m.g	1723
ChCC-v11007572m.g	2945
ChCC-v11007576m.g	1581
ChCC-v11007586m.g	9060
ChCC-v11007591m.g	3826
ChCC-v11007592m.g	4732
ChCC-v11007594m.g	268
ChCC-v11007595m.g	250
ChCC-v11007599m.g	1053
ChCC-v11007600m.g	1041
ChCC-v11007601m.g	1006
ChCC-v11007602m.g	1582
ChCC-v11007604m.g	3267
ChCC-v11007606m.g	2739
ChCC-v11007614m.g	2649
ChCC-v11007615m.g	3367
ChCC-v11007618m.g	3368
ChCC-v11007622m.g	3654
ChCC-v11007623m.g	736
ChCC-v11007624m.g	2180
ChCC-v11007627m.g	2985
ChCC-v11007628m.g	2869
ChCC-v11007629m.g	2409
ChCC-v11007630m.g	1046
ChCC-v11007631m.g	2425
ChCC-v11007632m.g	1336
ChCC-v11007633m.g	3012
ChCC-v11007635m.g	552
ChCC-v11007636m.g	7312
ChCC-v11007638m.g	1978
ChCC-v11007639m.g	1912
ChCC-v11007640m.g	7985
ChCC-v11007641m.g	1115
ChCC-v11007645m.g	2685
ChCC-v11007647m.g	419
ChCC-v11007648m.g	2375
ChCC-v11007649m.g	2332
ChCC-v11007650m.g	4198
ChCC-v11007651m.g	2681
ChCC-v11007657m.g	1419
ChCC-v11007658m.g	3324
ChCC-v11007659m.g	3619
ChCC-v11007660m.g	2728
ChCC-v11007662m.g	1714
ChCC-v11007664m.g	3073
ChCC-v11007665m.g	4283
ChCC-v11007666m.g	1938
ChCC-v11007667m.g	3073
ChCC-v11007668m.g	1676
ChCC-v11007669m.g	2919
ChCC-v11007670m.g	1890
ChCC-v11007673m.g	3617
ChCC-v11007674m.g	1595
ChCC-v11007676m.g	2647
ChCC-v11007679m.g	3150
ChCC-v11007683m.g	1219
ChCC-v11007687m.g	1310
ChCC-v11007689m.g	2954
ChCC-v11007691m.g	3874
ChCC-v11007695m.g	2251
ChCC-v11007697m.g	5184
ChCC-v11007700m.g	2396
ChCC-v11007702m.g	3731
ChCC-v11007704m.g	2250
ChCC-v11007705m.g	468
ChCC-v11007706m.g	540
ChCC-v11007708m.g	3269
ChCC-v11007712m.g	2881
ChCC-v11007713m.g	2520
ChCC-v11007714m.g	3105
ChCC-v11007717m.g	1716
ChCC-v11007725m.g	545
ChCC-v11007726m.g	1480
ChCC-v11007727m.g	2943
ChCC-v11007729m.g	1795
ChCC-v11007731m.g	2467
ChCC-v11007734m.g	5694
ChCC-v11007735m.g	2667
ChCC-v11007736m.g	524
ChCC-v11007737m.g	3144
ChCC-v11007738m.g	6197
ChCC-v11007741m.g	7960
ChCC-v11007742m.g	2142
ChCC-v11007747m.g	2206
ChCC-v11007748m.g	8197
ChCC-v11007749m.g	2879
ChCC-v11007751m.g	745
ChCC-v11007753m.g	590
ChCC-v11007754m.g	1188
ChCC-v11007757m.g	2940
ChCC-v11007758m.g	6991
ChCC-v11007759m.g	2591
ChCC-v11007761m.g	3085
ChCC-v11007762m.g	1892
ChCC-v11007764m.g	10719
ChCC-v11007765m.g	3555
ChCC-v11007766m.g	6600
ChCC-v11007767m.g	2115
ChCC-v11007770m.g	1199
ChCC-v11007772m.g	1263
ChCC-v11007775m.g	9838
ChCC-v11007778m.g	2732
ChCC-v11007779m.g	3743
ChCC-v11007780m.g	1610
ChCC-v11007781m.g	1013
ChCC-v11007782m.g	2420
ChCC-v11007783m.g	3416
ChCC-v11007788m.g	2616
ChCC-v11007789m.g	1239
ChCC-v11007791m.g	1769
ChCC-v11007793m.g	1631
ChCC-v11007794m.g	3134
ChCC-v11007797m.g	4349
ChCC-v11007798m.g	5109
ChCC-v11007799m.g	5578
ChCC-v11007801m.g	1556
ChCC-v11007802m.g	2197
ChCC-v11007804m.g	2495
ChCC-v11007806m.g	1668
ChCC-v11007807m.g	803
ChCC-v11007809m.g	1749
ChCC-v11007810m.g	2253
ChCC-v11007811m.g	1702
ChCC-v11007815m.g	1559
ChCC-v11007816m.g	2048
ChCC-v11007817m.g	2572
ChCC-v11007820m.g	1109
ChCC-v11007821m.g	2986
ChCC-v11007826m.g	2670
ChCC-v11007827m.g	1539
ChCC-v11007828m.g	1638
ChCC-v11007829m.g	3319
ChCC-v11007831m.g	4355
ChCC-v11007834m.g	3364
ChCC-v11007850m.g	1689
ChCC-v11007854m.g	4732
ChCC-v11007860m.g	2448
ChCC-v11007865m.g	2756
