KEGG Pathway	Hits	Score	Phytozome v5 Transcript IDs
RNA degradation	12	0.52082	Cre06.g280050.t1.2, Cre17.g731050.t1.2, Cre01.g040500.t1.2, Cre14.g624500.t1.2, Cre12.g507250.t1.3, Cre11.g475850.t1.2, Cre01.g027150.t1.3, Cre03.g156150.t1.3, Cre03.g188750.t1.2, Cre01.g052000.t1.2, Cre07.g349300.t1.2, Cre07.g319750.t1.2
1- and 2-Methylnaphthalene degradation	3	0.52603	Cre10.g431550.t1.1, Cre02.g103100.t1.1, Cre09.g415850.t1.2
ErbB signaling pathway	4	0.53427	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
1,2-Dichloroethane degradation	1	0.54132	Cre12.g500150.t1.1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1	0.54132	Cre06.g249300.t1.2
Stilbenoid, diarylheptanoid and gingerol biosynthesis	1	0.54132	Cre10.g427350.t1.3
Taurine and hypotaurine metabolism	1	0.54132	Cre09.g396700.t1.2
Cell cycle	12	0.55948	Cre06.g270250.t1.3, Cre06.g295700.t1.3, Cre04.g215750.t1.2, Cre12.g559250.t1.2, Cre08.g380400.t1.2, Cre13.g562950.t1.3, Cre13.g575650.t1.3, Cre12.g494500.t1.2, Cre17.g723300.t1.3, Cre17.g709750.t1.3, Cre01.g029200.t1.3, Cre07.g323100.t1.3
Valine, leucine and isoleucine biosynthesis	3	0.57784	Cre02.g073200.t1.2, Cre03.g194200.t1.2, Cre02.g081400.t1.2
Fatty acid metabolism	4	0.57852	Cre03.g182050.t1.2, Cre17.g723650.t1.2, Cre12.g500150.t1.1, Cre10.g431550.t1.1
Tetrachloroethene degradation	2	0.57962	Cre08.g370550.t1.3, Cre10.g461900.t1.2
Long-term depression	9	0.5895	Cre13.g607300.t1.2, Cre06.g249150.t1.3, Cre07.g321000.t1.3, Cre01.g021700.t1.3, Cre03.g200800.t1.3, Cre10.g431250.t1.3, Cre12.g551250.t1.2, Cre12.g518350.t1.3, Cre10.g432250.t1.3
Isoquinoline alkaloid biosynthesis	1	0.5897	Cre01.g000650.t1.3
Cell cycle - yeast	10	0.59199	Cre02.g086650.t1.2, Cre06.g270250.t1.3, Cre06.g295700.t1.3, Cre04.g215750.t1.2, Cre08.g380400.t1.2, Cre13.g562950.t1.3, Cre12.g542350.t1.2, Cre01.g039500.t1.2, Cre01.g029200.t1.3, Cre01.g020400.t1.2
Regulation of actin cytoskeleton	9	0.6174	Cre12.g523050.t1.3, Cre13.g607300.t1.2, Cre16.g648100.t1.3, Cre01.g029850.t1.2, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre06.g249300.t1.2, Cre14.g628200.t1.3
PPAR signaling pathway	4	0.62027	Cre17.g723650.t1.2, Cre03.g182050.t1.2, Cre15.g641200.t1.2, Cre03.g169100.t1.3
Pathways in cancer	11	0.63201	Cre12.g514850.t1.2, Cre13.g607300.t1.2, Cre13.g575650.t1.3, Cre06.g249150.t1.3, Cre12.g494500.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre03.g206800.t1.3, Cre06.g268150.t1.3, Cre13.g573550.t1.3, Cre02.g112800.t1.3
3-Chloroacrylic acid degradation	2	0.63828	Cre12.g500150.t1.1, Cre10.g431550.t1.1
MAPK signaling pathway - yeast	2	0.63828	Cre17.g733300.t1.3, Cre10.g464100.t1.2
Metabolism of xenobiotics by cytochrome P450	4	0.65934	Cre01.g044700.t1.2, Cre12.g559800.t1.2, Cre10.g431550.t1.1, Cre07.g340850.t1.2
Ascorbate and aldarate metabolism	2	0.66511	Cre12.g500150.t1.1, Cre01.g031500.t1.2
One carbon pool by folate	2	0.66511	Cre03.g193750.t1.3, Cre09.g411900.t1.2
Histidine metabolism	5	0.6698	Cre12.g500150.t1.1, Cre03.g172550.t1.2, Cre13.g571950.t1.2, Cre06.g273413.t1.3, Cre03.g169700.t1.2
Selenoamino acid metabolism	5	0.68613	Cre06.g301650.t1.2, Cre03.g172550.t1.2, Cre13.g571950.t1.2, Cre06.g273413.t1.3, Cre03.g169700.t1.2
Cysteine and methionine metabolism	4	0.6956	Cre10.g461750.t1.2, Cre06.g286650.t1.3, Cre03.g180750.t1.2, Cre06.g301650.t1.2
Streptomycin biosynthesis	1	0.70635	Cre08.g376100.t1.2
ABC transporters	8	0.71063	Cre17.g725150.t1.2, Cre02.g097800.t1.3, Cre12.g530900.t1.2, Cre14.g618400.t1.2, Cre17.g721000.t1.2, Cre01.g001350.t1.2, Cre03.g164150.t1.3, Cre07.g335400.t1.1
Vibrio cholerae infection	4	0.71267	Cre02.g076350.t1.2, Cre03.g199000.t1.2, Cre06.g257450.t1.2, Cre06.g249300.t1.2
Small cell lung cancer	2	0.71394	Cre13.g575650.t1.3, Cre12.g494500.t1.2
SNARE interactions in vesicular transport	2	0.71394	Cre12.g554700.t1.2, Cre04.g224750.t1.2
Aminoacyl-tRNA biosynthesis	5	0.71714	Cre10.g421600.t1.2, Cre06.g273300.t1.2, Cre13.g606050.t1.2, Cre05.g233800.t1.2, Cre06.g296250.t1.3
Phenylalanine metabolism	2	0.73604	Cre01.g000650.t1.3, Cre09.g415850.t1.2
Pentose phosphate pathway	3	0.74682	Cre12.g526800.t1.2, Cre03.g187450.t1.2, Cre09.g394550.t1.2
Tryptophan metabolism	2	0.75667	Cre12.g500150.t1.1, Cre09.g417150.t1.2
Photosynthesis	3	0.76359	Cre09.g412100.t1.2, Cre07.g330250.t1.2, Cre03.g165100.t1.2
Amyotrophic lateral sclerosis (ALS)	1	0.76508	Cre09.g417150.t1.2
Renin-angiotensin system	1	0.76508	Cre06.g279400.t1.2
Plant-pathogen interaction	5	0.77246	Cre12.g514850.t1.2, Cre17.g705000.t1.2, Cre10.g418900.t1.2, Cre01.g051250.t1.2, Cre06.g249150.t1.3
Tight junction	3	0.77946	Cre02.g099200.t1.3, Cre03.g168150.t1.2, Cre06.g249300.t1.2
Pentose and glucuronate interconversions	1	0.78989	Cre10.g432900.t1.2
Epithelial cell signaling in Helicobacter pylori infection	2	0.79377	Cre02.g076350.t1.2, Cre06.g257450.t1.2
Glycerolipid metabolism	3	0.79444	Cre02.g143000.t1.2, Cre12.g500150.t1.1, Cre10.g432900.t1.2
Nucleotide excision repair	5	0.80825	Cre12.g516500.t1.1, Cre11.g468450.t1.2, Cre17.g709750.t1.3, Cre09.g397350.t1.3, Cre06.g283550.t1.1
Lysine biosynthesis	1	0.81208	Cre12.g519900.t1.2
Viral myocarditis	1	0.81208	Cre06.g249300.t1.2
p53 signaling pathway	3	0.82185	Cre13.g575650.t1.3, Cre12.g494500.t1.2, Cre17.g723300.t1.3
Retinol metabolism	3	0.82185	Cre10.g431550.t1.1, Cre07.g340850.t1.2, Cre08.g380550.t1.2
Hedgehog signaling pathway	2	0.82578	Cre03.g199000.t1.2, Cre06.g268150.t1.3
Fructose and mannose metabolism	3	0.8571	Cre08.g370550.t1.3, Cre10.g461900.t1.2, Cre10.g432900.t1.2
Carotenoid biosynthesis	1	0.86559	Cre03.g149650.t1.3
N-Glycan biosynthesis	2	0.87674	Cre09.g414250.t1.3, Cre12.g537500.t1.3
Basal cell carcinoma	1	0.8798	Cre06.g268150.t1.3
Ether lipid metabolism	1	0.8798	Cre10.g460350.t1.3
Notch signaling pathway	1	0.8798	Cre06.g280700.t1.2
Ubiquinone and other terpenoid-quinone biosynthesis	2	0.88713	Cre09.g393400.t1.2, Cre10.g429800.t1.2
Cell cycle - Caulobacter	1	0.89251	Cre02.g141550.t1.2
Regulation of autophagy	1	0.89251	Cre13.g570250.t1.3
Purine metabolism	23	0.90472	Cre07.g312350.t1.3, Cre06.g280950.t1.2, Cre13.g592050.t1.2, Cre03.g161000.t1.3, Cre06.g293000.t1.3, Cre05.g234700.t1.3, Cre12.g536050.t1.2, Cre16.g683500.t1.2, Cre02.g085100.t1.2, Cre07.g321000.t1.3, Cre06.g271050.t1.3, Cre01.g021700.t1.3, Cre16.g654300.t1.2, Cre03.g200800.t1.3, Cre10.g431250.t1.3, Cre12.g518350.t1.3, Cre03.g188550.t1.2, Cre10.g440300.t1.1, Cre10.g440200.t1.3, Cre03.g171200.t1.2, Cre16.g676800.t1.2, Cre09.g394550.t1.2, Cre03.g194900.t1.3
Protein export	2	0.90552	Cre02.g080600.t1.2, Cre09.g406800.t1.3
Ubiquitin mediated proteolysis	9	0.90877	Cre12.g516500.t1.1, Cre09.g386400.t1.2, Cre11.g479650.t1.2, Cre13.g562950.t1.3, Cre12.g533750.t1.3, Cre08.g367650.t1.2, Cre12.g498450.t1.2, Cre13.g570300.t1.2, Cre01.g022100.t1.2
DNA replication	3	0.90974	Cre07.g312350.t1.3, Cre06.g295700.t1.3, Cre06.g293000.t1.3
Steroid biosynthesis	1	0.92314	Cre16.g663950.t1.2
Lysosome	4	0.93338	Cre06.g279400.t1.2, Cre09.g407700.t1.2, Cre16.g657950.t1.3, Cre06.g257450.t1.2
Pyrimidine metabolism	7	0.93668	Cre07.g312350.t1.3, Cre06.g293000.t1.3, Cre03.g190800.t1.1, Cre16.g654300.t1.2, Cre02.g086050.t1.3, Cre03.g171200.t1.2, Cre12.g550400.t1.2
Basal transcription factors	1	0.94506	Cre13.g583500.t1.3
Proteasome	2	0.94526	Cre10.g424400.t1.2, Cre08.g385700.t1.2
Adherens junction	6	0.95478	Cre13.g607300.t1.2, Cre16.g666300.t1.3, Cre12.g524450.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre06.g249300.t1.2
Leishmania infection	5	0.95701	Cre13.g607300.t1.2, Cre16.g666300.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre01.g001400.t1.1
Drug metabolism - other enzymes	1	0.9649	Cre07.g340850.t1.2
NOD-like receptor signaling pathway	5	0.96532	Cre12.g514850.t1.2, Cre13.g607300.t1.2, Cre16.g666300.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Toll-like receptor signaling pathway	5	0.96532	Cre13.g607300.t1.2, Cre16.g666300.t1.3, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
Wnt signaling pathway	6	0.9719	Cre13.g567800.t1.2, Cre03.g158550.t1.2, Cre10.g451400.t1.3, Cre01.g029850.t1.2, Cre16.g666300.t1.3, Cre03.g199000.t1.2
Amino sugar and nucleotide sugar metabolism	2	0.97652	Cre16.g683450.t1.2, Cre10.g440050.t1.2
Sphingolipid metabolism	1	0.98209	Cre12.g530550.t1.3
Steroid hormone biosynthesis	1	0.98569	Cre07.g340850.t1.2
T cell receptor signaling pathway	5	0.98583	Cre13.g607300.t1.2, Cre16.g666300.t1.3, Cre06.g249150.t1.3, Cre12.g551250.t1.2, Cre10.g432250.t1.3
MAPK signaling pathway	11	0.98855	Cre08.g372100.t1.2, Cre06.g250100.t1.2, Cre13.g607300.t1.2, Cre16.g666300.t1.3, Cre03.g199000.t1.2, Cre06.g249150.t1.3, Cre03.g168150.t1.2, Cre12.g551250.t1.2, Cre10.g432250.t1.3, Cre14.g628200.t1.3, Cre08.g380600.t1.3
Homologous recombination	1	0.98857	Cre06.g287950.t1.3
Spliceosome	10	0.99141	Cre14.g621000.t1.2, Cre03.g158150.t1.3, Cre08.g372800.t1.3, Cre16.g676400.t1.2, Cre08.g372100.t1.2, Cre06.g250100.t1.2, Cre12.g559850.t1.1, Cre12.g516200.t1.2, Cre13.g567750.t1.2, Cre12.g522400.t1.3
RIG-I-like receptor signaling pathway	2	0.9973	Cre16.g666300.t1.3, Cre16.g661900.t1.3
Systemic lupus erythematosus	2	1	Cre03.g197050.t1.2, Cre02.g106250.t1.2
